sim_number,EIG_kids,EIG_adults
1,0.6393899694659096,0.7092435073373234
2,0.5969944463859015,0.6243927388447935
3,0.5914393712722523,0.7888499492340709
4,0.6797561561700806,0.6313049381549605
5,0.6224852457665261,0.675734279336471
6,0.5646228624759428,0.6513501280051444
7,0.5495131420289636,0.6406201110480803
8,0.6106309717148949,0.6571548847301033
9,0.6450255678237553,0.7778162770742042
10,0.5712815097378644,0.6092021502024799
11,0.5804719405570417,0.6086300588451861
12,0.6312470639397887,0.6425274118544745
13,0.5637356899723084,0.7464995910193818
14,0.5750755593147342,0.7155299884923991
15,0.5967287043740335,0.6609657856931047
16,0.660927500186839,0.6437176768284953
17,0.6053958522568855,0.6981888501225497
18,0.6264344276577829,0.6396714511087136
19,0.6048004352949597,0.6231522822090073
20,0.5688706977416172,0.7149380073717393
21,0.5983900289782033,0.6963880388256847
22,0.5542170574190423,0.7467614561807677
23,0.6064506919736851,0.7169445153422999
24,0.5694635657862775,0.6111487149872126
25,0.6148497246906117,0.6895252780563609
26,0.6337015177054438,0.6188306537510535
27,0.5259349185645068,0.6125750300032733
28,0.6210953857608482,0.5599942286118705
29,0.6080389901072676,0.6970770744364124
30,0.6316030729103346,0.7510805001246909
31,0.639623942971622,0.5594120652260567
32,0.5859679062038294,0.6737853998626127
33,0.5944798534801385,0.5878208029864044
34,0.5781741449816703,0.6397800412736445
35,0.5868490340576488,0.7707304838931047
36,0.5778312495897718,0.5801021949898041
37,0.6265809942955726,0.6231558763550327
38,0.562129149697145,0.6741417195640438
39,0.6279375316019048,0.6947593880671961
40,0.6257676564697563,0.6052862539979119
41,0.6660908814748479,0.7095547442821122
42,0.6134193104458598,0.6806439996402158
43,0.5790303345952907,0.6454814805978931
44,0.5834874551814624,0.7488149621125252
45,0.5981352749063784,0.6649780761896706
46,0.5735001602798321,0.6570067105731602
47,0.6423263967419727,0.7330609975625817
48,0.6081775421978391,0.6291200937656626
49,0.6315936023339563,0.6829840256915904
50,0.6283762120292218,0.6999887758133647
51,0.5993908873894825,0.6955352600931378
52,0.632109237146876,0.7541991335825098
53,0.6097807290528953,0.7803595876775122
54,0.6541591936508548,0.5670800615795338
55,0.623989617533767,0.6505541604262494
56,0.5965297486299551,0.8161660341929515
57,0.5869407847060254,0.618601400558076
58,0.6532958032395272,0.6113437726790746
59,0.568949401367738,0.6331530228993754
60,0.5778852865582912,0.6935807998174162
61,0.6746054406301297,0.7233565812252708
62,0.6221067368457067,0.6869020038897677
63,0.649700689115323,0.7379788052545021
64,0.5354646330147229,0.6527569831954266
65,0.6625772242324109,0.5852128348562424
66,0.6238137267480761,0.6497570488828812
67,0.5854686694901561,0.6985930080592174
68,0.6114226134140887,0.6029435893726842
69,0.5756012113938737,0.650770710031203
70,0.591980765785785,0.5906141699213454
71,0.5998517990311945,0.5971420810600084
72,0.593096408156521,0.661539510524281
73,0.5782854547052,0.6387252995958302
74,0.6675398848371126,0.7308806949794997
75,0.6007778693625582,0.6098830359627132
76,0.6279481875582323,0.5766934834053343
77,0.5980259229848294,0.723390152604027
78,0.5691208995148983,0.5713825711751993
79,0.5170508827734397,0.6249139760405749
80,0.6060199129624148,0.7796691397657516
81,0.6037633080708906,0.5419737510779871
82,0.6002971814083956,0.7002254636474141
83,0.6027463059108586,0.622850043634879
84,0.618933536776446,0.750936692255952
85,0.5932949032491919,0.721058149610837
86,0.5821989488546,0.7445642768994093
87,0.5522917471422354,0.6959627918519401
88,0.6291754698145532,0.6713730195692413
89,0.5802472772885597,0.6687391651494631
90,0.5415143831462284,0.6762564160439822
91,0.5694184979858177,0.6344263789129833
92,0.621036967628728,0.64418926997558
93,0.557912343433966,0.6749968269763481
94,0.5792451674941548,0.6127496484321252
95,0.5442279102171717,0.7303907504345749
96,0.584707270754648,0.6775671151627612
97,0.5976930391654781,0.7001035253171437
98,0.5553101530536642,0.6057904680339801
99,0.5503479022339327,0.6917464604790038
100,0.5816037562837483,0.5788348296216882
101,0.6065374231663027,0.6013317625441184
102,0.5637442490259506,0.6278850509205303
103,0.5947682623522439,0.6704277606276859
104,0.5880443026640749,0.6477629776318871
105,0.650968486703605,0.6324655286264481
106,0.6059210274552422,0.5766093749234446
107,0.6479498018195952,0.6643861049510292
108,0.6120219771430708,0.6972122638651741
109,0.5979232829985798,0.7416420928873864
110,0.5994964380074914,0.6438696767629899
111,0.582754431347445,0.5950580966045923
112,0.601742829123321,0.7519155338461873
113,0.5765284356837977,0.6772046181544339
114,0.6302379291386614,0.7346520002287358
115,0.6245686509238008,0.711693868301217
116,0.5496510370872633,0.6639967807420553
117,0.6266923875173345,0.5738747321216602
118,0.6047718430931343,0.6077454882021676
119,0.6390884589992054,0.6389337165281042
120,0.6498015009126775,0.730762389223677
121,0.607855530733615,0.7239398213957734
122,0.5932433473369813,0.6553069629810506
123,0.5727981330131187,0.6567353529281824
124,0.6511230473145649,0.6597639630642911
125,0.5879108084836222,0.7128897073427942
126,0.6121159939572751,0.6161598028679499
127,0.6134542545352842,0.7199061556208035
128,0.6263608558151939,0.6725843870547318
129,0.6341036265332642,0.632679708026713
130,0.5681060356925242,0.7929575426567269
131,0.5055237446181866,0.8130386350007408
132,0.5904599445011685,0.6382176673493369
133,0.5869347386075634,0.7451960910498159
134,0.5693206655646085,0.7347929411415877
135,0.5688330925719087,0.6851303290510377
136,0.627228502191723,0.6180364501895708
137,0.6074818865093289,0.735367011878651
138,0.6518584741652491,0.6865946139697344
139,0.5612488299962385,0.7585061050501601
140,0.5792580107687509,0.6846773871943446
141,0.6054340624633108,0.5749937593185368
142,0.6746002411263317,0.6398820465151484
143,0.5215479841601965,0.6952446949910785
144,0.6155561969868076,0.7958751350496861
145,0.5656530774091147,0.6589175737610043
146,0.6334735705136456,0.6853908794156098
147,0.6042955491366017,0.7290891293915128
148,0.5507176759761855,0.6754415786392663
149,0.581235167039675,0.633179846354512
150,0.5874486025684876,0.6716658242505179
151,0.5892773077005363,0.7017150468924552
152,0.558598629551017,0.7020968241768445
153,0.590867550124303,0.7251978445214746
154,0.5841964407509802,0.7081550128830578
155,0.5509916850295518,0.6868456853497428
156,0.6413007225239538,0.7522622242307451
157,0.5861112513862526,0.6359004687051694
158,0.6352248013038213,0.7317331486612934
159,0.6095665057029812,0.6739570795690054
160,0.6146394006170716,0.6453375421315527
161,0.6187243139830001,0.6190823422498378
162,0.6396945565136594,0.7016879446114639
163,0.6063228925933527,0.672418180594356
164,0.5610151473190385,0.6254337786926326
165,0.5763205139986437,0.6984078675659298
166,0.57397935142404,0.7313598478368368
167,0.6010488627915599,0.6822298740517703
168,0.6296089063844258,0.7987364101956188
169,0.6184862246741618,0.6750794660007772
170,0.6256725171917646,0.67456974659203806
171,0.5943004445823932,0.6997534086887108
172,0.638988717286747,0.6715609702428239
173,0.6141808272465136,0.634008141867847
174,0.5525304950488088,0.5615399379506868
175,0.6455233727188725,0.6480454811801477
176,0.5830569632546975,0.7101230099254224
177,0.5716814225430087,0.6662170551379927
178,0.5647530572470651,0.714552966472999
179,0.5808565041683977,0.5867225590106137
180,0.6533870611793811,0.6199659688666773
181,0.5342232757102088,0.5880339644700527
182,0.6165295831303849,0.680057883348351
183,0.6197237149679642,0.6723096993821108
184,0.6066278670201996,0.6290325826597514
185,0.5982556336261309,0.6439170137065735
186,0.5907408701783112,0.5963414524405453
187,0.5863884589837399,0.6535217560270549
188,0.5871232573228602,0.6342417345935234
189,0.6098306350080079,0.7049175036068032
190,0.5373164822180015,0.706574262678446
191,0.6057942466305991,0.6877062018153305
192,0.6018547940315196,0.6795945545906363
193,0.6113952033874303,0.5932542309221679
194,0.5999056426619148,0.7059744032111668
195,0.598395080030344,0.6620195738945882
196,0.627304237407898,0.6688433637483162
197,0.6230935458797257,0.7149386934537197
198,0.6230539646518614,0.604391066019188
199,0.6765372558497426,0.6947248149891125
200,0.5676037706866408,0.7313842070414219
201,0.6223745514915189,0.6928945505131022
202,0.5851770443893514,0.7221516131050137
203,0.6607355189912734,0.5964862327042457
204,0.640265992981922,0.6671478689417496
205,0.5933176558139537,0.6911200709193718
206,0.5736559904007823,0.6824492877356854
207,0.6085850601623972,0.703547997391203
208,0.5975920667244033,0.6905434384957398
209,0.611675455892813,0.6814759715312085
210,0.6339191427678234,0.7139295565793425
211,0.6268752906583573,0.6731641439561654
212,0.6235339472079304,0.6159919211474261
213,0.5653183647918454,0.6467903850456487
214,0.5786747403774687,0.7839004062253724
215,0.5741921827613272,0.6995479065561674
216,0.5964544323870417,0.7370065151468649
217,0.5995308796268648,0.7128535375995625
218,0.5810038207070988,0.6940634629012691
219,0.5411722748313074,0.6298104793100021
220,0.632172670989831,0.7425617245897066
221,0.6109704273584861,0.6516914932065418
222,0.6337001836228784,0.6739240785911508
223,0.6094459859332938,0.6672905385166608
224,0.6081978260625277,0.6139077779332072
225,0.5888711945265847,0.6851442988132596
226,0.5933008257956454,0.6678145404418048
227,0.5930845338622289,0.7073886031117552
228,0.5695314395644872,0.6654856016660591
229,0.6249125494197596,0.6656943108788262
230,0.6112873472973583,0.6165312060697895
231,0.5667219893275215,0.6002903725519012
232,0.6002134979016714,0.7051207053991551
233,0.6115488905327376,0.5562705189639331
234,0.5752895327819342,0.6921990722125468
235,0.5647087308236253,0.7051292241550419
236,0.6186527698553607,0.7488600356053752
237,0.6037005218373456,0.6963051974017448
238,0.6175415187368456,0.6074722859238403
239,0.52006347226324,0.7320086010362304
240,0.5583150981194239,0.658735310923118
241,0.5700708830025937,0.6156907041637375
242,0.5841082501288244,0.6350968808224314
243,0.6443948497516467,0.5403418390863542
244,0.6098980796643149,0.7179523004224672
245,0.5928591926962272,0.7323387678590403
246,0.6121129671799904,0.6025536023539684
247,0.628440971319403,0.6719214348903515
248,0.5587205286740129,0.6479153564415207
249,0.5922689653892417,0.6385984872900101
250,0.5711492463806954,0.7438424554381114
251,0.5987940657659354,0.6746418714563412
252,0.5921210144532365,0.6248571761981399
253,0.5975926421899013,0.5848338763400687
254,0.590014979847415,0.6766444487412692
255,0.5764238240101991,0.6750924364631474
256,0.5497455737330369,0.6632417565064771
257,0.6190847628788179,0.6516587594501119
258,0.6072838251384433,0.6526249447196218
259,0.6394211206709056,0.6716697816783896
260,0.5823153779355745,0.6423626616402197
261,0.598971713156465,0.5102881130514805
262,0.5986375904695211,0.6767762170698856
263,0.5881808668734385,0.5972659728691577
264,0.5614970070633026,0.7900530428058965
265,0.5874788642670047,0.6814638053936013
266,0.6104570922996423,0.7189283217678725
267,0.5904186525431442,0.6592554885205119
268,0.5581053952071269,0.6510781952409037
269,0.5699705358527037,0.6404739421509906
270,0.6328427080558461,0.6103573299246615
271,0.5731591196121418,0.7078337265625485
272,0.5861310968116601,0.6127820550197458
273,0.5987004412425347,0.6908600155851641
274,0.6126303511447534,0.6718349824510629
275,0.6142528016969635,0.6579453183911894
276,0.6196837829734481,0.7514244897005948
277,0.6206694722866563,0.6958421191953503
278,0.5847525139625666,0.6998101350419951
279,0.6022463939072683,0.6187970538156121
280,0.5976389299149951,0.7084807052269585
281,0.5845859391127034,0.7543870647942084
282,0.5740896684706538,0.6549315316356266
283,0.6099076399669247,0.6651817163822463
284,0.577339398519205,0.6470583997128031
